Cycle: 5  cd16  2 nM_X	Cycle: 5  cd16  2 nM_Y	Fitted Cycle: 5  cd16  2 nM_X	Fitted Cycle: 5  cd16  2 nM_Y	Cycle: 6  cd16  4 nM_X	Cycle: 6  cd16  4 nM_Y	Fitted Cycle: 6  cd16  4 nM_X	Fitted Cycle: 6  cd16  4 nM_Y	Cycle: 7  cd16  8 nM_X	Cycle: 7  cd16  8 nM_Y	Fitted Cycle: 7  cd16  8 nM_X	Fitted Cycle: 7  cd16  8 nM_Y	Cycle: 8  cd16  16 nM_X	Cycle: 8  cd16  16 nM_Y	Fitted Cycle: 8  cd16  16 nM_X	Fitted Cycle: 8  cd16  16 nM_Y	Cycle: 9  cd16  32 nM_X	Cycle: 9  cd16  32 nM_Y	Fitted Cycle: 9  cd16  32 nM_X	Fitted Cycle: 9  cd16  32 nM_Y	Cycle: 10  cd16  8 nM_X	Cycle: 10  cd16  8 nM_Y	Fitted Cycle: 10  cd16  8 nM_X	Fitted Cycle: 10  cd16  8 nM_Y
-56.56	0.0202229	-56.56	0	-56.66	0.0618896	-56.66	0	-56.56	0.0390828	-56.56	0	-56.56	0.062154	-56.56	0	-56.56	0.0341389	-56.56	0	-56.56	0.12087	-56.56	0
-56.46	0.011495	-56.46	0	-56.56	0.0526324	-56.56	0	-56.46	0.0323079	-56.46	0	-56.46	0.0553792	-56.46	0	-56.46	0.0273641	-56.46	0	-56.46	0.114095	-56.46	0
-56.36	0.016968	-56.36	0	-56.46	0.0435384	-56.46	0	-56.36	0.0338747	-56.36	0	-56.36	0.0452272	-56.36	0	-56.36	0.0230715	-56.36	0	-56.36	0.100037	-56.36	0
-56.26	0.0104574	-56.26	0	-56.36	0.0404051	-56.36	0	-56.26	0.0234578	-56.26	0	-56.26	0.0387166	-56.26	0	-56.26	0.0107015	-56.26	0	-56.26	0.0876668	-56.26	0
-56.16	3.94694e-3	-56.16	0	-56.26	0.0338949	-56.26	0	-56.16	0.0110881	-56.16	0	-56.16	0.0322062	-56.16	0	-56.16	4.19108e-3	-56.16	0	-56.16	0.0811564	-56.16	0
-56.06	6.55088e-3	-56.06	0	-56.16	0.0273844	-56.16	0	-56.06	0.013692	-56.06	0	-56.06	0.0445758	-56.06	0	-56.06	6.79502e-3	-56.06	0	-56.06	0.0837604	-56.06	0
-55.96	-8.42285e-3	-55.96	0	-56.06	0.0299885	-56.06	0	-55.96	8.48389e-3	-55.96	0	-55.96	0.0393677	-55.96	0	-55.96	1.58691e-3	-55.96	0	-55.96	0.0785522	-55.96	0
-55.86	-0.0110269	-55.86	0	-55.96	0.0247803	-55.96	0	-55.86	5.87987e-3	-55.86	0	-55.86	0.0367637	-55.86	0	-55.86	-5.71681e-3	-55.86	0	-55.86	0.0759482	-55.86	0
-55.76	-9.72494e-3	-55.76	0	-55.86	0.0221762	-55.86	0	-55.76	7.1818e-3	-55.76	0	-55.76	0.0283	-55.76	0	-55.76	-0.0114339	-55.76	0	-55.76	0.0811564	-55.76	0
-55.66	-0.0164997	-55.66	0	-55.76	0.0234782	-55.76	0	-55.66	4.0707e-4	-55.66	0	-55.66	0.0312909	-55.66	0	-55.66	-0.0221149	-55.66	0	-55.66	0.0802411	-55.66	0
-55.56	-0.0142822	-55.56	0	-55.66	0.0206094	-55.66	0	-55.56	-5.18799e-3	-55.56	0	-55.56	0.0256958	-55.56	0	-55.56	-0.0257568	-55.56	0	-55.56	0.074646	-55.56	0
-55.46	-7.12077e-3	-55.46	0	-55.56	0.0247803	-55.56	0	-55.46	-9.74528e-3	-55.46	0	-55.46	0.0211385	-55.46	0	-55.46	-8.82976e-3	-55.46	0	-55.46	0.0739949	-55.46	0
-55.36	-7.12077e-3	-55.36	0	-55.46	0.0260824	-55.46	0	-55.36	-9.74528e-3	-55.36	0	-55.36	0.0211385	-55.36	0	-55.36	-4.13005e-3	-55.36	0	-55.36	0.0798543	-55.36	0
-55.26	-8.42285e-3	-55.26	0	-55.36	0.0260824	-55.36	0	-55.26	-0.0149536	-55.26	0	-55.26	0.0159302	-55.26	0	-55.26	-3.11279e-3	-55.26	0	-55.26	0.0785522	-55.26	0
-55.16	-0.0116778	-55.16	0	-55.26	0.020874	-55.26	0	-55.16	-0.024068	-55.16	0	-55.16	6.81581e-3	-55.16	0	-55.16	-0.0133868	-55.16	0	-55.16	0.071391	-55.16	0
-55.06	-6.46973e-3	-55.06	0	-55.16	0.0117595	-55.16	0	-55.06	-0.0130005	-55.06	0	-55.06	4.21143e-3	-55.06	0	-55.06	-2.31934e-3	-55.06	0	-55.06	0.0707397	-55.06	0
-54.96	-4.78109e-3	-54.96	0	-55.06	0.0169678	-55.06	0	-54.96	-0.0210775	-54.96	0	-54.96	-5.81869e-3	-54.96	0	-54.96	-1.79037e-3	-54.96	0	-54.96	0.0626628	-54.96	0
-54.86	-0.0162354	-54.86	0	-54.96	0.0186564	-54.96	0	-54.86	-0.0422974	-54.86	0	-54.86	-0.0211792	-54.86	0	-54.86	-0.0101318	-54.86	0	-54.86	0.0512085	-54.86	0
-54.76	-0.0295202	-54.76	0	-54.86	0.0111084	-54.86	0	-54.76	-0.0653479	-54.76	0	-54.76	-0.0403235	-54.76	0	-54.76	-7.79171e-3	-54.76	0	-54.76	0.0457361	-54.76	0
-54.66	-0.0409744	-54.66	0	-54.76	7.58827e-3	-54.76	0	-54.66	-0.0826614	-54.66	0	-54.66	-0.0373123	-54.66	0	-54.66	-3.62088e-3	-54.66	0	-54.66	0.0440476	-54.66	0
-54.56	-0.0231323	-54.56	0	-54.66	3.9469e-3	-54.66	0	-54.56	-0.0706787	-54.56	0	-54.56	-0.0230103	-54.56	0	-54.56	-0.0131226	-54.56	0	-54.56	0.0247803	-54.56	0
-54.46	-0.0227458	-54.46	0	-54.56	-3.60107e-3	-54.56	0	-54.46	-0.0585734	-54.46	0	-54.46	-0.0315959	-54.46	0	-54.46	-0.0154826	-54.46	0	-54.46	0.0232137	-54.46	0
-54.36	1.34277e-3	-54.36	0	-54.46	-7.12077e-3	-54.46	0	-54.36	-0.0501099	-54.36	0	-54.36	-0.0309448	-54.36	0	-54.36	-0.0151978	-54.36	0	-54.36	0.0250244	-54.36	0
-54.26	9.41997e-3	-54.26	0	-54.36	-8.42285e-3	-54.36	0	-54.26	-0.0381264	-54.26	0	-54.26	-0.0482583	-54.26	0	-54.26	3.80474e-3	-54.26	0	-54.26	0.0260826	-54.26	0
-54.16	0.0241289	-54.16	0	-54.26	-6.20472e-3	-54.26	0	-54.16	-0.0175581	-54.16	0	-54.16	-0.053874	-54.16	0	-54.16	0.0282793	-54.16	0	-54.16	0.0357256	-54.16	0
-54.06	0.0195719	-54.06	0	-54.16	0.0124108	-54.16	0	-54.06	-0.0201619	-54.06	0	-54.06	-0.0732625	-54.06	0	-54.06	0.0432536	-54.06	0	-54.06	0.0557658	-54.06	0
-53.96	0.0144857	-53.96	0	-54.06	0.0148722	-54.06	0	-53.96	-0.0611979	-53.96	0	-53.96	-0.0998332	-53.96	0	-53.96	0.0459798	-53.96	0	-53.96	0.058492	-53.96	0
-53.86	-0.010376	-53.86	0	-53.96	-0.02653	-53.96	0	-53.86	-0.123169	-53.86	0	-53.86	-0.118835	-53.86	0	-53.86	8.60596e-3	-53.86	0	-53.86	0.0492554	-53.86	0
-53.76	-0.0562131	-53.76	0	-53.86	-0.0951538	-53.86	0	-53.76	-0.165466	-53.76	0	-53.76	-0.122863	-53.76	0	-53.76	-0.0422971	-53.76	0	-53.76	0.015137	-53.76	0
-53.66	-0.0991815	-53.66	0	-53.76	-0.153869	-53.76	0	-53.66	-0.164306	-53.66	0	-53.66	-0.08966	-53.66	0	-53.66	-0.0786126	-53.66	0	-53.66	-0.0102532	-53.66	0
-53.56	-0.085144	-53.56	0	-53.66	-0.186277	-53.66	0	-53.56	-0.0947876	-53.56	0	-53.56	2.50244e-3	-53.56	0	-53.56	-0.0341187	-53.56	0	-53.56	0.0174561	-53.56	0
-53.46	-0.0679321	-53.46	0	-53.56	-0.132019	-53.56	0	-53.46	-1.40381e-3	-53.46	0	-53.46	0.109558	-53.46	0	-53.46	0.0241089	-53.46	0	-53.46	0.0202026	-53.46	0
-53.36	-0.06545	-53.36	0	-53.46	-0.0378418	-53.46	0	-53.36	0.0792033	-53.36	0	-53.36	0.186259	-53.36	0	-53.36	0.042216	-53.36	0	-53.36	-5.02522e-3	-53.36	0
-53.26	-0.0280783	-53.26	0	-53.36	0.0329997	-53.36	0	-53.26	0.139219	-53.26	0	-53.26	0.25604	-53.26	0	-53.26	0.0659158	-53.26	0	-53.26	-4.90457e-4	-53.26	0
-53.16	-0.0323909	-53.16	0	-53.26	0.10669	-53.26	0	-53.16	0.145832	-53.16	0	-53.16	0.279072	-53.16	0	-53.16	0.073322	-53.16	0	-53.16	-0.0235408	-53.16	0
-53.06	-0.027303	-53.06	0	-53.16	0.104328	-53.16	0	-53.06	0.0767009	-53.06	0	-53.06	0.238444	-53.06	0	-53.06	3.39764e-3	-53.06	0	-53.06	-0.0477498	-53.06	0
-52.96	-0.0140177	-52.96	0	-53.06	0.0539348	-53.06	0	-52.96	0.0313924	-52.96	0	-52.96	0.193136	-52.96	0	-52.96	-5.96109e-3	-52.96	0	-52.96	-0.0176798	-52.96	0
-52.86	-9.72493e-3	-52.86	0	-52.96	0.0222982	-52.96	0	-52.86	-6.49007e-3	-52.86	0	-52.86	0.166972	-52.86	0	-52.86	0.0100505	-52.86	0	-52.86	-0.0196126	-52.86	0
-52.76	1.221e-3	-52.76	0	-52.86	0.0137126	-52.86	0	-52.76	-7.26289e-3	-52.76	0	-52.76	0.136109	-52.76	0	-52.76	0.0268558	-52.76	0	-52.76	-0.0180661	-52.76	0
-52.66	0.0258191	-52.66	0	-52.76	0.0305171	-52.76	0	-52.66	0.0192883	-52.66	0	-52.66	0.0853283	-52.66	0	-52.66	0.053407	-52.66	0	-52.66	-0.0114124	-52.66	0
-52.56	0.0299886	-52.56	0	-52.66	0.0492553	-52.66	0	-52.56	0.0457357	-52.56	0	-52.56	0.0621541	-52.56	0	-52.56	0.0790609	-52.56	0	-52.56	9.54184e-3	-52.56	0
