Cycle: 5  CD16  2 nM_X	Cycle: 5  CD16  2 nM_Y	Fitted Cycle: 5  CD16  2 nM_X	Fitted Cycle: 5  CD16  2 nM_Y	Cycle: 6  CD16  4 nM_X	Cycle: 6  CD16  4 nM_Y	Fitted Cycle: 6  CD16  4 nM_X	Fitted Cycle: 6  CD16  4 nM_Y	Cycle: 7  CD16  8 nM_X	Cycle: 7  CD16  8 nM_Y	Fitted Cycle: 7  CD16  8 nM_X	Fitted Cycle: 7  CD16  8 nM_Y	Cycle: 8  CD16  16 nM_X	Cycle: 8  CD16  16 nM_Y	Fitted Cycle: 8  CD16  16 nM_X	Fitted Cycle: 8  CD16  16 nM_Y	Cycle: 9  CD16  32 nM_X	Cycle: 9  CD16  32 nM_Y	Fitted Cycle: 9  CD16  32 nM_X	Fitted Cycle: 9  CD16  32 nM_Y	Cycle: 10  CD16  8 nM_X	Cycle: 10  CD16  8 nM_Y	Fitted Cycle: 10  CD16  8 nM_X	Fitted Cycle: 10  CD16  8 nM_Y
-50.96	-0.0838216	-50.96	0	-50.96	-0.065389	-50.96	0	-50.96	-0.0961507	-50.96	0	-50.96	-0.20284	-50.96	0	-50.96	-0.0564779	-50.96	0	-50.96	-0.0703939	-50.96	0
-50.86	-0.0694987	-50.86	0	-50.86	-0.0569255	-50.86	0	-50.86	-0.0740153	-50.86	0	-50.86	-0.194377	-50.86	0	-50.86	-0.0480143	-50.86	0	-50.86	-0.0736491	-50.86	0
-50.76	-0.0681967	-50.76	0	-50.76	-0.0595297	-50.76	0	-50.76	-0.0766195	-50.76	0	-50.76	-0.193075	-50.76	0	-50.76	-0.0467123	-50.76	0	-50.76	-0.0664877	-50.76	0
-50.66	-0.0623373	-50.66	0	-50.66	-0.0536703	-50.66	0	-50.66	-0.0649008	-50.66	0	-50.66	-0.187215	-50.66	0	-50.66	-0.0447592	-50.66	0	-50.66	-0.0645346	-50.66	0
-50.56	-0.0547689	-50.56	0	-50.56	-0.048055	-50.56	0	-50.56	-0.0631917	-50.56	0	-50.56	-0.179647	-50.56	0	-50.56	-0.0430501	-50.56	0	-50.56	-0.0628255	-50.56	0
-50.46	-0.0616862	-50.46	0	-50.46	-0.049113	-50.46	0	-50.46	-0.0798747	-50.46	0	-50.46	-0.186564	-50.46	0	-50.46	-0.0499675	-50.46	0	-50.46	-0.0599772	-50.46	0
-50.36	-0.0721029	-50.36	0	-50.36	-0.0380453	-50.36	0	-50.36	-0.0805257	-50.36	0	-50.36	-0.191121	-50.36	0	-50.36	-0.0603841	-50.36	0	-50.36	-0.0606283	-50.36	0
-50.26	-0.0721029	-50.26	0	-50.26	-0.034139	-50.26	0	-50.26	-0.0766195	-50.26	0	-50.26	-0.204793	-50.26	0	-50.26	-0.0467123	-50.26	0	-50.26	-0.0664877	-50.26	0
-50.16	-0.0783692	-50.16	0	-50.16	-0.034546	-50.16	0	-50.16	-0.0770264	-50.16	0	-50.16	-0.2052	-50.16	0	-50.16	-0.0471192	-50.16	0	-50.16	-0.0668946	-50.16	0
-50.06	-0.0825195	-50.06	0	-50.06	-0.0386963	-50.06	0	-50.06	-0.0811768	-50.06	0	-50.06	-0.209351	-50.06	0	-50.06	-0.0512695	-50.06	0	-50.06	-0.0710449	-50.06	0
-49.96	-0.0721029	-49.96	0	-49.96	-0.0321859	-49.96	0	-49.96	-0.0785726	-49.96	0	-49.96	-0.206746	-49.96	0	-49.96	-0.0545247	-49.96	0	-49.96	-0.0645345	-49.96	0
-49.86	-0.0727539	-49.86	0	-49.86	-0.019165	-49.86	0	-49.86	-0.0811768	-49.86	0	-49.86	-0.219116	-49.86	0	-49.86	-0.0512695	-49.86	0	-49.86	-0.0651855	-49.86	0
-49.76	-0.0662435	-49.76	0	-49.76	-0.0224203	-49.76	0	-49.76	-0.0902914	-49.76	0	-49.76	-0.222371	-49.76	0	-49.76	-0.058431	-49.76	0	-49.76	-0.0743001	-49.76	0
-49.66	-0.0629883	-49.66	0	-49.66	-0.019165	-49.66	0	-49.66	-0.0811768	-49.66	0	-49.66	-0.223022	-49.66	0	-49.66	-0.0571289	-49.66	0	-49.66	-0.0710449	-49.66	0
-49.56	-0.0668945	-49.56	0	-49.56	-0.019165	-49.56	0	-49.56	-0.085083	-49.56	0	-49.56	-0.232788	-49.56	0	-49.56	-0.0512695	-49.56	0	-49.56	-0.0671387	-49.56	0
-49.46	-0.0727539	-49.46	0	-49.46	-0.019165	-49.46	0	-49.46	-0.0870361	-49.46	0	-49.46	-0.238647	-49.46	0	-49.46	-0.0571289	-49.46	0	-49.46	-0.0651855	-49.46	0
-49.36	-0.0760091	-49.36	0	-49.36	-0.0165609	-49.36	0	-49.36	-0.0785726	-49.36	0	-49.36	-0.236043	-49.36	0	-49.36	-0.0486654	-49.36	0	-49.36	-0.0645345	-49.36	0
-49.26	-0.0590822	-49.26	0	-49.26	-0.0191652	-49.26	0	-49.26	-0.0772706	-49.26	0	-49.26	-0.248413	-49.26	0	-49.26	-0.0512697	-49.26	0	-49.26	-0.071045	-49.26	0
-49.16	-0.05778	-49.16	0	-49.16	-0.0139568	-49.16	0	-49.16	-0.0662029	-49.16	0	-49.16	-0.257609	-49.16	0	-49.16	-0.0460613	-49.16	0	-49.16	-0.0658367	-49.16	0
-49.06	-0.0597331	-49.06	0	-49.06	-6.14423e-3	-49.06	0	-49.06	-0.0642497	-49.06	0	-49.06	-0.276408	-49.06	0	-49.06	-0.05778	-49.06	0	-49.06	-0.0580241	-49.06	0
